Tamil Pop Culture
Rajini,Kamal
Vijay,Ajith
Suriya,Karthi
Dhanush,Sivakarthikeyan
Ok Kanmani,Alaipayuthey
Mouna Ragam,Roja
Nayakan,Thalapathi
Baasha,Padayappa
Thuppakki,Kaththi
Ilaiyaraaja,AR Rahman
Vairamuthu,Vaali
Shankar,Mani Ratnam
SP Balasubrahmanyam,KS Chitra
Sridevi,Jayalalitha
Nayanthara,Trisha
Baashaa,Annamalai
Vikram,Abishek Bachan
Simbu,Dhanush
Anirudh,Yuvan
GV Prakash,Harris Jayaraj
Karthik,Arjun
Vadivelu,Vivek
Kamal,Sivaji Ganesan
Chennai,Madurai
Pongal,Diwali
Idli,Dosa
Biryani,Kothu Parotta
Superstar,Ulaganayagan
Coolie,Jailer
Jyothika,Simran
Asin,Sneha
Anushka,Samantha
Madhavan,Prashanth
Prabhu,Satyaraj
Santhanam,Soori
Senthil,Goundamani
Lokesh Kanagaraj,Nelson (director)
Kaadhal,7G Rainbow Colony
Kaithi,Master
Leo,Vikram
Deva,Vidyasagar
Sambar,Rasam
Murukku,Mixture
Vadai,Bajji
Kesari,Payasam
MGR,Sivaji Ganesan
Parotta,Chapati
Paneer,Tofu
Appam,Idiyappam
Upma,Pongal
